지점,지점명,일시,평균기온
108,서울,Jul-54,21.9
108,서울,Aug-54,25.7
108,서울,Sep-54,20.3
108,서울,Oct-54,12.5
108,서울,Nov-54,9.5
108,서울,Dec-54,-2.7
108,서울,Jan-55,-5.6
108,서울,Feb-55,-0.1
108,서울,Mar-55,4.4
108,서울,Apr-55,11.1
108,서울,May-55,15.9
108,서울,Jun-55,21.4
108,서울,Jul-55,24.5
108,서울,Aug-55,26.2
108,서울,Sep-55,20.7
108,서울,Oct-55,12.6
108,서울,Nov-55,5.9
108,서울,Dec-55,0.6
108,서울,Jan-56,-3.9
108,서울,Feb-56,-3.4
108,서울,Mar-56,3.7
108,서울,Apr-56,9.5
108,서울,May-56,15.1
108,서울,Jun-56,19.7
108,서울,Jul-56,24.3
108,서울,Aug-56,24.8
108,서울,Sep-56,20.4
108,서울,Oct-56,12.8
108,서울,Nov-56,3.2
108,서울,Dec-56,-5.2
108,서울,Jan-57,-3.5
108,서울,Feb-57,-4.3
108,서울,Mar-57,0
108,서울,Apr-57,10.4
108,서울,May-57,16.9
108,서울,Jun-57,20.1
108,서울,Jul-57,22.4
108,서울,Aug-57,24.1
108,서울,Sep-57,18.9
108,서울,Oct-57,12.5
108,서울,Nov-57,8.3
108,서울,Dec-57,-0.5
108,서울,Jan-58,-6
108,서울,Feb-58,-0.8
108,서울,Mar-58,3.7
108,서울,Apr-58,10.8
108,서울,May-58,16.3
108,서울,Jun-58,22.2
108,서울,Jul-58,25.6
108,서울,Aug-58,23.8
108,서울,Sep-58,19.8
108,서울,Oct-58,12.7
108,서울,Nov-58,6.7
108,서울,Dec-58,4
108,서울,Jan-59,-5.1
108,서울,Feb-59,2.4
108,서울,Mar-59,6
108,서울,Apr-59,10.2
108,서울,May-59,17.9
108,서울,Jun-59,20.4
108,서울,Jul-59,24.4
108,서울,Aug-59,25.8
108,서울,Sep-59,20.8
108,서울,Oct-59,14.8
108,서울,Nov-59,5.8
108,서울,Dec-59,1.1
108,서울,Jan-60,-3.3
108,서울,Feb-60,1.7
108,서울,Mar-60,6.7
108,서울,Apr-60,10.6
108,서울,May-60,16.5
108,서울,Jun-60,20.6
108,서울,Jul-60,24.8
108,서울,Aug-60,26.2
108,서울,Sep-60,20.8
108,서울,Oct-60,15.1
108,서울,Nov-60,7.1
108,서울,Dec-60,-1.8
108,서울,Jan-61,-5.2
108,서울,Feb-61,-0.9
108,서울,Mar-61,5.4
108,서울,Apr-61,11.7
108,서울,May-61,17.3
108,서울,Jun-61,21.9
108,서울,Jul-61,26.2
108,서울,Aug-61,26.8
108,서울,Sep-61,21.5
108,서울,Oct-61,15.6
108,서울,Nov-61,8.9
108,서울,Dec-61,-0.6
108,서울,Jan-62,-3.4
108,서울,Feb-62,-0.7
108,서울,Mar-62,3.2
108,서울,Apr-62,10
108,서울,May-62,17.6
108,서울,Jun-62,21.1
108,서울,Jul-62,26.1
108,서울,Aug-62,25.1
108,서울,Sep-62,20.3
108,서울,Oct-62,13.6
108,서울,Nov-62,6.4
108,서울,Dec-62,1.1
108,서울,Jan-63,-9.1
108,서울,Feb-63,-2.4
108,서울,Mar-63,5.5
108,서울,Apr-63,11.4
108,서울,May-63,16.9
108,서울,Jun-63,21.2
108,서울,Jul-63,24.5
108,서울,Aug-63,25.7
108,서울,Sep-63,20.5
108,서울,Oct-63,13.5
108,서울,Nov-63,6.5
108,서울,Dec-63,0.8
108,서울,Jan-64,-0.1
108,서울,Feb-64,-3.5
108,서울,Mar-64,3.8
108,서울,Apr-64,14.1
108,서울,May-64,18.6
108,서울,Jun-64,21.6
108,서울,Jul-64,24.7
108,서울,Aug-64,26.3
108,서울,Sep-64,20.3
108,서울,Oct-64,13.8
108,서울,Nov-64,6.3
108,서울,Dec-64,0.2
108,서울,Jan-65,-4.2
108,서울,Feb-65,-1.2
108,서울,Mar-65,2.7
108,서울,Apr-65,10.3
108,서울,May-65,17.3
108,서울,Jun-65,22.1
108,서울,Jul-65,24.1
108,서울,Aug-65,24.4
108,서울,Sep-65,20.9
108,서울,Oct-65,14.8
108,서울,Nov-65,7
108,서울,Dec-65,-2
108,서울,Jan-66,-4.6
108,서울,Feb-66,0.1
108,서울,Mar-66,4.8
108,서울,Apr-66,11.8
108,서울,May-66,18.3
108,서울,Jun-66,20.5
108,서울,Jul-66,23.6
108,서울,Aug-66,26.7
108,서울,Sep-66,19.7
108,서울,Oct-66,14.4
108,서울,Nov-66,5.9
108,서울,Dec-66,-3
108,서울,Jan-67,-4.4
108,서울,Feb-67,-2.4
108,서울,Mar-67,4.8
108,서울,Apr-67,11.8
108,서울,May-67,19.3
108,서울,Jun-67,21.3
108,서울,Jul-67,25.5
108,서울,Aug-67,26.7
108,서울,Sep-67,20.7
108,서울,Oct-67,14.5
108,서울,Nov-67,6.5
108,서울,Dec-67,-4.9
108,서울,Jan-68,-4
108,서울,Feb-68,-4.4
108,서울,Mar-68,4.4
108,서울,Apr-68,12.6
108,서울,May-68,17.2
108,서울,Jun-68,21
108,서울,Jul-68,24.7
108,서울,Aug-68,24.9
108,서울,Sep-68,20.9
108,서울,Oct-68,13
108,서울,Nov-68,7.6
108,서울,Dec-68,3.1
108,서울,Jan-69,-3.5
108,서울,Feb-69,-2.7
108,서울,Mar-69,2.9
108,서울,Apr-69,10.6
108,서울,May-69,16.4
108,서울,Jun-69,20
108,서울,Jul-69,24
108,서울,Aug-69,24.8
108,서울,Sep-69,20.8
108,서울,Oct-69,13.9
108,서울,Nov-69,5
108,서울,Dec-69,-2
108,서울,Jan-70,-4.8
108,서울,Feb-70,-0.2
108,서울,Mar-70,0.4
108,서울,Apr-70,12.2
108,서울,May-70,18.7
108,서울,Jun-70,20.5
108,서울,Jul-70,23
108,서울,Aug-70,25.9
108,서울,Sep-70,21.2
108,서울,Oct-70,14.9
108,서울,Nov-70,5.7
108,서울,Dec-70,-1
108,서울,Jan-71,-2.4
108,서울,Feb-71,-0.7
108,서울,Mar-71,2
108,서울,Apr-71,11.2
108,서울,May-71,16.6
108,서울,Jun-71,21.6
108,서울,Jul-71,23.9
108,서울,Aug-71,24.6
108,서울,Sep-71,20.6
108,서울,Oct-71,13
108,서울,Nov-71,8.7
108,서울,Dec-71,-1.2
108,서울,Jan-72,0.8
108,서울,Feb-72,-0.6
108,서울,Mar-72,5.3
